dataset,method,gene,score,rank
full_dataset,scran MV,NKG7,0.5752879720443379,12
full_dataset,scran MV,VCAN,0.5746067806551776,13
full_dataset,scran MV,TYROBP,0.5568684352441692,14
full_dataset,scran MV,CCL5,0.5386040710472528,15
full_dataset,scran MV,CD74,0.5361188808273849,16
full_dataset,scran MV,MNDA,0.5176846729186748,17
full_dataset,scran MV,LGALS1,0.4982706829021914,18
full_dataset,scran MV,HLA-DPA1,0.4915674567518361,19
full_dataset,scran MV,HLA-DRB1,0.4864614350774573,20
full_dataset,scran MV,AIF1,0.4821765487182699,21
full_dataset,scran MV,KLRB1,0.470588208736266,22
full_dataset,scran MV,IL32,0.46017765752083384,23
full_dataset,scran MV,IL7R,0.4580735602133878,24
full_dataset,scran MV,FCER1G,0.45665865507466763,25
full_dataset,scran MV,HLA-DPB1,0.42634617035146455,26
full_dataset,scran MV,PSAP,0.41066278341732865,27
full_dataset,scran MV,IGLC2,0.4055485635835421,28
full_dataset,scran MV,LTB,0.3977406926807101,29
full_dataset,scran MV,S100A4,0.39142396590781503,30
full_dataset,scran MV,GZMA,0.39124416463678136,31
full_dataset,scran MV,CD79A,0.3794420449476392,32
full_dataset,scran MV,PPBP,0.36883107203927273,33
full_dataset,scran MV,LST1,0.3667843263150418,34
full_dataset,scran MV,NEAT1,0.3504621995298772,35
full_dataset,scran MV,TYMP,0.33756726138336035,36
full_dataset,scran MV,SRGN,0.33158396844280535,37
full_dataset,scran MV,FGL2,0.3246535702308287,38
full_dataset,scran MV,MS4A6A,0.32263517956643667,39
full_dataset,scran MV,TRAC,0.3221209969735814,40
full_dataset,scran MV,MS4A1,0.3201177780432207,41
full_dataset,scran MV,CD14,0.3158907749713179,42
full_dataset,scran MV,TRBC1,0.3033085536508779,43
full_dataset,scran MV,DUSP1,0.2991716721967502,44
full_dataset,scran MV,S100A11,0.2947427134973425,45
full_dataset,scran MV,IGHD,0.28405301169958774,46
full_dataset,scran MV,COTL1,0.28060784533957395,47
full_dataset,scran MV,TCL1A,0.28018497401876397,48
full_dataset,scran MV,RGS2,0.2742126336528133,49
full_dataset,scran MV,PF4,0.26738528855870014,50
full_dataset,scran MV,CEBPD,0.2659980015169281,51
full_dataset,scran MV,CTSW,0.26353389493960955,52
full_dataset,scran MV,CD3D,0.2634532771128579,53
full_dataset,scran MV,GRN,0.2613684461593707,54
full_dataset,scran MV,NRGN,0.2604633227577058,55
full_dataset,scran MV,FOS,0.2602666605732792,56
full_dataset,scran MV,GZMK,0.2575798695514846,57
full_dataset,scran MV,S100A6,0.25576581535732534,58
full_dataset,scran MV,CD79B,0.25225446886808717,59
full_dataset,scran MV,HLA-DQB1,0.2519720660760374,60
full_dataset,scran MV,PRF1,0.2511267841194652,61
full_dataset,scran MV,AC020656.1,0.24858905979343793,62
full_dataset,scran MV,KLF4,0.24786889638803988,63
full_dataset,scran MV,HLA-DQA1,0.24575820743163757,64
full_dataset,scran MV,CST7,0.24507874030835664,65
full_dataset,scran MV,KLRD1,0.2429887632545541,66
full_dataset,scran MV,CYBB,0.24293784419259357,67
full_dataset,scran MV,ANXA1,0.23937864906808604,68
full_dataset,scran MV,CPVL,0.23931699442523446,69
full_dataset,scran MV,SERPINA1,0.23817809344675173,70
full_dataset,scran MV,DUSP6,0.23401002776155455,71
full_dataset,scran MV,FCGR3A,0.2337241456630728,72
full_dataset,scran MV,CSTA,0.23299659408614276,73
full_dataset,scran MV,GZMB,0.22972470161415304,74
full_dataset,scran MV,TRBC2,0.22966230962981166,75
full_dataset,scran MV,AP1S2,0.22613595852405494,76
full_dataset,scran MV,CD3E,0.2200154175394745,77
full_dataset,scran MV,CD36,0.21960546429883543,78
full_dataset,scran MV,RHOB,0.21780513653624117,79
full_dataset,scran MV,MPEG1,0.21458246540637022,80
full_dataset,scran MV,CFD,0.21270218132560526,81
full_dataset,scran MV,APLP2,0.21265429508903727,82
full_dataset,scran MV,SAT1,0.21203421438789483,83
full_dataset,scran MV,CAVIN2,0.20913799663577465,84
full_dataset,scran MV,ZEB2,0.20629546512180685,85
full_dataset,scran MV,HOPX,0.20577541403126898,86
full_dataset,scran MV,TKT,0.20232129805772608,87
full_dataset,scran MV,TRDC,0.19571531063033915,88
full_dataset,scran MV,GNG11,0.19389073813914148,89
full_dataset,scran MV,LGALS2,0.19105972166497337,90
full_dataset,scran MV,NCF2,0.18792882904559766,91
full_dataset,scran MV,CD7,0.18759645492661992,92
full_dataset,scran MV,ZFP36,0.18478475012599715,93
full_dataset,scran MV,CD68,0.1833814941937451,94
full_dataset,scran MV,IGLC3,0.1819286979009143,95
full_dataset,scran MV,TUBB1,0.18057828547154997,96
full_dataset,scran MV,CD3G,0.17941133656992747,97
full_dataset,scran MV,GSTP1,0.17213553308679902,98
full_dataset,scran MV,CEBPB,0.17073982982785807,99
full_dataset,scran MV,BANK1,0.16757146297846875,100
full_dataset,SCT proxy,S100A9,132.57076794567206,1
full_dataset,SCT proxy,S100A8,104.71427242490223,2
full_dataset,SCT proxy,LYZ,69.97968309492178,3
full_dataset,SCT proxy,MALAT1,69.54969916109704,4
full_dataset,SCT proxy,GNLY,42.458957218845875,5
full_dataset,SCT proxy,FTL,38.39558928422595,6
full_dataset,SCT proxy,IGKC,36.74127855456721,7
full_dataset,SCT proxy,FTH1,26.591007359299752,8
full_dataset,SCT proxy,FOS,25.572913312632487,9
full_dataset,SCT proxy,HLA-DRA,24.715494653108976,10
full_dataset,SCT proxy,RPS27,23.773466377880904,11
full_dataset,SCT proxy,NKG7,22.63222372914853,12
full_dataset,SCT proxy,NEAT1,22.025467603632748,13
full_dataset,SCT proxy,CD74,21.607185932733422,14
full_dataset,SCT proxy,IGHM,21.138394614521623,15
full_dataset,SCT proxy,S100A12,20.06834454668608,16
full_dataset,SCT proxy,IGLC2,19.700081219445977,17
full_dataset,SCT proxy,RPS12,18.84821489931475,18
full_dataset,SCT proxy,ACTB,16.755849240071452,19
full_dataset,SCT proxy,HLA-DPA1,15.202741643637692,20
full_dataset,SCT proxy,PPBP,14.424065615753698,21
full_dataset,SCT proxy,CTSS,13.788740413004708,22
full_dataset,SCT proxy,RPS18,13.702282610165794,23
full_dataset,SCT proxy,RPL13,13.688572244233052,24
full_dataset,SCT proxy,MT-CO1,13.019407571558867,25
full_dataset,SCT proxy,HLA-DPB1,12.510145815453747,26
full_dataset,SCT proxy,RPS29,12.27666265333011,27
full_dataset,SCT proxy,TMSB4X,12.203575993669327,28
full_dataset,SCT proxy,DUSP1,12.036228864690681,29
full_dataset,SCT proxy,EEF1A1,11.931107911129633,30
full_dataset,SCT proxy,S100A6,11.739723298285101,31
full_dataset,SCT proxy,RPL10,11.730438139479668,32
full_dataset,SCT proxy,S100A4,11.583745500114494,33
full_dataset,SCT proxy,HLA-DRB1,11.582509009388252,34
full_dataset,SCT proxy,CST3,10.930210631146341,35
full_dataset,SCT proxy,CCL5,10.82168372539029,36
full_dataset,SCT proxy,RPL41,10.473839885102153,37
full_dataset,SCT proxy,MT-CO3,10.129321084754404,38
full_dataset,SCT proxy,VCAN,10.055886837261165,39
full_dataset,SCT proxy,RPS27A,9.987867802022869,40
full_dataset,SCT proxy,RPL32,9.903926578023416,41
full_dataset,SCT proxy,RPS3,9.8390851270547,42
full_dataset,SCT proxy,KLRB1,9.694227380993224,43
full_dataset,SCT proxy,MT-ATP6,9.667320340541051,44
full_dataset,SCT proxy,SAT1,9.512358397070422,45
full_dataset,SCT proxy,RPLP1,9.429893188237456,46
full_dataset,SCT proxy,VIM,9.399650300489984,47
full_dataset,SCT proxy,RPS19,9.37736000755098,48
full_dataset,SCT proxy,B2M,9.25230819357238,49
full_dataset,SCT proxy,RPS6,9.014790828772925,50
full_dataset,SCT proxy,RPL30,8.966259891799245,51
full_dataset,SCT proxy,FCN1,8.884897189576302,52
full_dataset,SCT proxy,FCGR3A,8.620949296311055,53
full_dataset,SCT proxy,LTB,8.560464815848155,54
full_dataset,SCT proxy,NRGN,8.526863486396536,55
full_dataset,SCT proxy,RPL3,8.428757240843245,56
full_dataset,SCT proxy,RPS3A,8.428554162512446,57
full_dataset,SCT proxy,RPL34,8.41220351350795,58
full_dataset,SCT proxy,RPS15A,8.388971603426894,59
full_dataset,SCT proxy,MT-CO2,8.342422175734667,60
full_dataset,SCT proxy,MT-CYB,8.165971098533847,61
full_dataset,SCT proxy,MT-ND3,7.942375666757282,62
full_dataset,SCT proxy,IGLC3,7.824779852904293,63
full_dataset,SCT proxy,AIF1,7.758611916562448,64
full_dataset,SCT proxy,RPS14,7.742761117854837,65
full_dataset,SCT proxy,RPS23,7.712370417611924,66
full_dataset,SCT proxy,PF4,7.694886586874601,67
full_dataset,SCT proxy,TPT1,7.526318002104945,68
full_dataset,SCT proxy,IL7R,7.438535764776187,69
full_dataset,SCT proxy,LST1,7.43832740189133,70
full_dataset,SCT proxy,IL32,7.409308897545117,71
full_dataset,SCT proxy,RPL19,7.203720091078183,72
full_dataset,SCT proxy,RPL39,7.19003255271286,73
full_dataset,SCT proxy,RPSA,7.180501436065677,74
full_dataset,SCT proxy,RPL23A,7.077763123278737,75
full_dataset,SCT proxy,RPL21,6.800554410078218,76
full_dataset,SCT proxy,RPL37,6.7913456679579225,77
full_dataset,SCT proxy,RPL18A,6.780520996210635,78
full_dataset,SCT proxy,MNDA,6.7626658001191595,79
full_dataset,SCT proxy,GZMB,6.6844268779345715,80
full_dataset,SCT proxy,LGALS1,6.6652974554597435,81
full_dataset,SCT proxy,GZMA,6.58752565851123,82
full_dataset,SCT proxy,TYROBP,6.414096961813901,83
full_dataset,SCT proxy,RPS2,6.389710095083703,84
full_dataset,SCT proxy,RPS25,6.3622858776760705,85
full_dataset,SCT proxy,RPS8,6.3358998923625744,86
full_dataset,SCT proxy,MT-ND4,6.282823321983626,87
full_dataset,SCT proxy,RPL11,6.251494864795377,88
full_dataset,SCT proxy,RPS21,6.153010314040279,89
full_dataset,SCT proxy,RPS28,5.9692102790182435,90
full_dataset,SCT proxy,PSAP,5.939723386171478,91
full_dataset,SCT proxy,COTL1,5.879107269989214,92
full_dataset,SCT proxy,JUN,5.84117319104598,93
full_dataset,SCT proxy,SRGN,5.798787440459814,94
full_dataset,SCT proxy,HLA-DQA1,5.620937310860881,95
full_dataset,SCT proxy,CD79A,5.6111322418687015,96
full_dataset,SCT proxy,FCER1G,5.603097862661613,97
full_dataset,SCT proxy,RPL13A,5.555047046593715,98
full_dataset,SCT proxy,H3F3B,5.539531579208563,99
full_dataset,SCT proxy,RPL9,5.5179194329324,100
